hightemp,lowtemp,avgtemp,season,cloudcover,precip,volume,highvolume,lowvolume,daytype
83,50,66.5,summer,7.599999905,0,501,1,0,weekday
73,49,61,summer,6.300000191,0.289999992,419,1,0,weekday
74,52,63,spring,7.5,0.319999993,397,0,0,weekday
95,61,78,summer,2.599999905,0,385,0,0,weekend
44,52,48,spring,10,0.140000001,200,0,1,weekday
69,54,61.5,spring,6.599999905,0.02,375,0,0,weekday
66,39,52.5,spring,2.400000095,0,417,1,0,weekday
66,38,52,spring,0,0,629,1,0,weekend
80,55,67.5,summer,3.799999952,0,533,1,0,weekend
79,45,62,summer,4.099999905,0,547,1,0,weekday
78,55,66.5,summer,8.5,0,432,1,0,weekday
65,48,56.5,spring,7.199999809,0,418,1,0,weekday
41,49,45,spring,10,0.029999999,193,0,1,weekday
59,35,47,fall,7.699999809,0,331,0,0,weekday
50,35,42.5,fall,5.800000191,0,280,0,1,weekday
54,32,43,spring,3.599999905,0,304,0,0,weekday
97,71,84,summer,6.099999905,0.680000007,352,0,0,weekend
75,43,59,spring,6.300000191,0,156,0,1,weekday
63,35,49,spring,8.600000381,0,365,0,0,weekday
42,37,39.5,fall,10,0.150000006,181,0,1,weekday
70,49,59.5,spring,7.900000095,0,514,1,0,weekend
57,48,52.5,spring,6.800000191,0,259,0,1,weekday
71,39,55,spring,5.199999809,0,452,1,0,weekday
46,30,38,fall,9.699999809,0.200000003,189,0,1,weekday
61,35,48,spring,4.400000095,0,362,0,0,weekday
81,65,73,summer,10,1.440000057,256,0,1,weekday
64,58,61,summer,10,1.149999976,155,0,1,weekday
57,36,46.5,spring,6.5,0.01,174,0,1,weekday
62,36,49,spring,0,0,259,0,1,weekday
83,54,68.5,summer,1.200000048,0,535,1,0,weekend
76,44,60,spring,1.799999952,0,650,1,0,weekend
74,50,62,spring,8,0.119999997,409,1,0,weekday
59,40,49.5,spring,9.399999619,0.340000004,311,0,0,weekday
77,52,64.5,spring,5,0,736,1,0,weekend
52,43,47.5,spring,5.800000191,0.01,186,0,1,weekday
67,43,55,spring,6.699999809,0,371,0,0,weekday
51,19,35,fall,0,0,291,0,1,weekend
41,25,33,fall,0,0,287,0,1,weekday
90,65,77.5,summer,8.399999619,0,411,1,0,weekday
70,30,50,spring,0,0,461,1,0,weekend
81,39,60,spring,0,0,540,1,0,weekday
72,53,62.5,summer,7.900000095,0,376,0,0,weekday
70,63,66.5,summer,9.899999619,0,554,1,0,weekday
69,41,55,fall,6.400000095,0,339,0,0,weekday
59,34,46.5,spring,2.400000095,0,344,0,0,weekday
60,32,46,fall,1.200000048,0,348,0,0,weekend
72,47,59.5,spring,4.099999905,0,517,1,0,weekday
70,47,58.5,spring,9.899999619,0,328,0,0,weekday
76,72,74,summer,9.699999809,0.349999994,298,0,1,weekday
56,38,47,spring,0,0,335,0,0,weekday
66,38,52,spring,3.900000095,0,186,0,1,weekday
84,69,76.5,summer,8.899999619,0.01,505,1,0,weekday
58,51,54.5,spring,10,0.150000006,156,0,1,weekday
56,41,48.5,spring,7,0,362,0,0,weekday
79,47,63,spring,7,0.01,507,1,0,weekend
67,39,53,spring,6.800000191,0.02,407,1,0,weekend
75,47,61,spring,6.800000191,0,421,1,0,weekday
65,30,47.5,spring,4.300000191,0,393,0,0,weekday
70,41,55.5,spring,5.099999905,0,422,1,0,weekday
64,41,52.5,spring,3.400000095,0,349,0,0,weekday
51,39,45,spring,10,0.159999996,150,0,1,weekday
77,43,60,spring,0.400000006,0,429,1,0,weekday
60,34,47,spring,10,0,293,0,1,weekday
74,55,64.5,summer,4.599999905,0,461,1,0,weekday
84,70,77,summer,9.899999619,1.49000001,388,0,0,weekday
61,42,51.5,spring,6.400000095,0.01,322,0,0,weekday
49,43,46,spring,9.699999809,0.119999997,129,0,1,weekend
71,42,56.5,fall,4,0,415,1,0,weekend
70,62,66,spring,3,0,460,1,0,weekday
83,60,71.5,summer,8.199999809,0.140000001,405,1,0,weekday
90,66,78,summer,6.599999905,0,453,1,0,weekday
92,66,79,summer,7.900000095,0,395,0,0,weekday
88,54,71,summer,6.199999809,0,531,1,0,weekday
62,39,50.5,spring,0.800000012,0,236,0,1,weekday
86,50,68,spring,6.199999809,0,484,1,0,weekday
67,43,55,spring,0.400000006,0,445,1,0,weekday
59,35,47,fall,1.700000048,0,252,0,1,weekday
89,69,79,summer,9,0.360000014,286,0,1,weekend
63,46,54.5,spring,6.900000095,0.170000002,400,1,0,weekend
59,46,52.5,fall,10,0,261,0,1,weekend
74,55,64.5,spring,7.800000191,0,339,0,0,weekend
80,33,56.5,spring,0.699999988,0,617,1,0,weekend
55,45,50,spring,9.600000381,0.200000003,316,0,0,weekend
62,28,45,fall,5.699999809,0.02,367,0,0,weekend
74,33,53.5,spring,2.5,0,635,1,0,weekend
95,66,80.5,summer,4.099999905,0,449,1,0,weekend
65,20,42.5,spring,9.399999619,0.219999999,314,0,0,weekend
55,43,49,spring,9,0,264,0,1,weekend
89,57,73,summer,1.899999976,0,356,0,0,weekend
80,53,66.5,summer,3.799999952,0,564,1,0,weekend
